script,function,cpu_usage,memory_usage,exec_time,energy_cost
01_fibonacci.py,fibonacci,4.299999999999997,0.02734375,0.20806479454040527,6.319499015808104
02_prime_finder.py,find_primes,0,0.0,0.20445609092712402,4.0891218185424805
03_bubble_sort.py,bubble_sort,0,0.0,0.35788798332214355,7.157759666442871
04_list_comprehension.py,large_list,0,0.1484375,0.2131655216217041,4.307841682434082
05_string_concat.py,string_concat,0,0.93359375,0.21182918548583984,4.516661834716797
06_dictionary_ops.py,dict_operations,0,0.0,0.20459771156311035,4.091954231262207
07_factorial.py,factorial,0,0.00390625,0.20197153091430664,4.040602493286133
08_matrix_multiply.py,matrix_multiply,16.700000000000003,0.0,0.2031877040863037,12.413754081726076
09_file_write.py,write_file,0,0.0,0.23536300659179688,4.7072601318359375
10_nested_loops.py,nested_loops,0,0.0,0.20405340194702148,4.08106803894043
11_set_operations.py,set_ops,0,0.0,0.2054882049560547,4.109764099121094
12_lambda_map.py,lambda_operations,0,0.09765625,0.21269989013671875,4.283294677734375
13_json_parse.py,json_operations,0,0,0.2110457420349121,4.220914840698242
14_memory_intensive.py,memory_test,3.099999999999998,0.0078125,0.2839326858520508,7.230997467041014
15_exception_handling.py,exception_test,0,0.0,0.20325779914855957,4.065155982971191
16_sorting.py,quick_sort,0,0.0,0.20256733894348145,4.051346778869629
17_filter_map.py,filter_map,0,0.0,0.22132110595703125,4.426422119140625
18_regex.py,regex_operations,0,0.0,0.2023775577545166,4.047551155090332
19_class_operations.py,class_ops,0,0.0,0.20679950714111328,4.135990142822266
20_complex_calc.py,complex_calculation,0,0.0,0.20235824584960938,4.0471649169921875
21_deep_recursion.py,deep_recursion,0,0.00390625,0.2997410297393799,5.9959924697875975
22_string_operations.py,string_operations,0,0,0.4156453609466553,8.312907218933105
23_list_sorting.py,list_sorting,0,0.0,0.20615363121032715,4.123072624206543
24_data_structures.py,data_structures,0,0.0,0.20791053771972656,4.158210754394531
25_file_read.py,file_read,10.2,0.0,0.31304407119750977,11.360881423950195
26_numpy_operations.py,numpy_operations,4.5,0.00390625,0.2866675853729248,7.984523582458496
27_nested_dict.py,nested_dict,0,0.0,0.20859956741333008,4.171991348266602
28_comprehension_heavy.py,comprehension_heavy,0,0.171875,0.21061396598815918,4.263841819763184
29_string_manipulation.py,string_manipulation,0,0.96484375,0.2442011833190918,5.173476791381836
30_math_operations.py,math_operations,0,0.0,0.255462646484375,5.1092529296875
31_generator_usage.py,generator_usage,8.7,0.0078125,0.21577787399291992,8.667901229858398
32_datetime_ops.py,datetime_ops,0,0.0078125,0.23383641242980957,4.679071998596191
33_random_operations.py,random_operations,0,0.0,0.307389497756958,6.14778995513916
34_zip_enumerate.py,zip_enumerate,0,0,0.22603702545166016,4.520740509033203
35_slice_operations.py,slice_operations,38.8,0.00390625,0.39542531967163086,27.309678268432616
36_try_except_loops.py,try_except_loops,2.8999999999999986,0.0,0.20460081100463867,5.542016220092773
37_class_instances.py,class_instances,6.800000000000001,0.0,0.21167993545532227,7.633598709106446
38_binary_operations.py,binary_operations,12.0,0.1171875,0.23537230491638184,10.742602348327637
39_multiline_strings.py,multiline_strings,0,0.0,0.22215723991394043,4.443144798278809
40_filter_reduce.py,filter_reduce,0,0.0,0.22739911079406738,4.547982215881348
41_collections_usage.py,collections_usage,16.200000000000003,0.01171875,0.21077179908752441,12.31895160675049
42_itertools_ops.py,itertools_ops,0,0.0,0.20254230499267578,4.050846099853516
43_pandas_operations.py,pandas_operations,1.9000000000000021,0.1640625,0.2229917049407959,5.459052848815919
44_regex_heavy.py,regex_heavy,25.1,0.03125,0.21579194068908691,16.87521381378174
45_pathlib_operations.py,pathlib_operations,0,0.02734375,0.7013847827911377,14.035898780822754
46_async_simulation.py,async_simulation,0,0.0,0.22434616088867188,4.4869232177734375
47_context_managers.py,context_managers,0,0.0,0.22923994064331055,4.584798812866211
48_decorators.py,compute_heavy,3.3000000000000007,0.04296875,0.21549391746520996,5.972768974304199
48_decorators.py,decorators,0,0.0,0.5684962272644043,11.369924545288086
49_property_access.py,property_access,0,0.0,0.218369722366333,4.36739444732666
50_hash_operations.py,hash_operations,0,0.015625,0.27544546127319336,5.513596725463867
