script,cpu_usage,memory_usage,exec_time,energy_cost
01_fibonacci.py,16.7,88.0,0.29787254333496094,40.70745086669922
02_prime_finder.py,21.6,88.0,0.2875828742980957,42.95165748596192
03_bubble_sort.py,36.4,88.0,0.3521876335144043,51.64375267028808
04_list_comprehension.py,17.2,88.1,0.27663564682006836,40.56271293640136
05_string_concat.py,23.1,88.1,0.29393815994262695,43.858763198852536
06_dictionary_ops.py,20.0,88.1,0.29140615463256836,42.25812309265136
07_factorial.py,19.0,88.1,0.2888462543487549,41.70692508697509
08_matrix_multiply.py,55.7,88.1,0.812969446182251,70.53938892364502
09_file_write.py,61.5,87.9,0.27909374237060547,62.701874847412114
10_nested_loops.py,22.9,87.9,0.2793862819671631,43.40772563934326
11_set_operations.py,33.9,87.8,0.2953684329986572,49.197368659973144
12_lambda_map.py,34.9,87.9,0.28348398208618164,49.48967964172363
13_json_parse.py,19.6,87.9,0.324998140335083,42.66996280670166
14_memory_intensive.py,10.4,87.9,0.30854225158691406,37.74084503173828
15_exception_handling.py,44.3,87.8,0.2851877212524414,54.19375442504882
16_sorting.py,34.0,87.8,0.26288557052612305,48.597711410522464
17_filter_map.py,8.2,87.8,0.28130531311035156,36.06610626220703
18_regex.py,18.8,87.7,0.2978377342224121,41.66675468444824
19_class_operations.py,25.5,87.6,0.2549893856048584,44.12978771209717
20_complex_calc.py,25.0,87.6,0.29317450523376465,44.643490104675294
21_deep_recursion.py,19.2,87.6,0.3058319091796875,41.996638183593745
22_string_operations.py,18.0,87.7,0.5440399646759033,46.19079929351807
23_list_sorting.py,14.9,87.6,0.2746729850769043,39.22345970153808
24_data_structures.py,17.0,87.6,0.27989983558654785,40.37799671173096
25_file_read.py,17.0,87.6,0.37178659439086914,42.215731887817384
26_numpy_operations.py,50.9,87.6,0.6245479583740234,64.22095916748046
27_nested_dict.py,67.2,87.5,0.30845141410827637,66.01902828216552
28_comprehension_heavy.py,24.5,87.5,0.2631862163543701,43.7637243270874
29_string_manipulation.py,24.5,87.5,0.30919599533081055,44.68391990661621
30_math_operations.py,37.9,87.5,0.30399513244628906,51.279902648925784
31_generator_usage.py,4.1,87.5,0.2846066951751709,33.992133903503415
32_datetime_ops.py,17.4,87.6,0.27631640434265137,40.506328086853024
33_random_operations.py,30.0,87.5,0.268204927444458,46.61409854888916
34_zip_enumerate.py,31.1,87.5,0.2833433151245117,47.46686630249023
35_slice_operations.py,25.9,87.5,0.3561255931854248,46.3225118637085
36_try_except_loops.py,2.0,87.1,0.29207921028137207,32.97158420562744
37_class_instances.py,8.1,87.1,0.29176807403564453,36.01536148071289
38_binary_operations.py,31.2,87.0,0.2725718021392822,47.15143604278564
39_multiline_strings.py,20.8,87.1,0.3007340431213379,42.54468086242676
40_filter_reduce.py,26.4,87.0,0.2877631187438965,45.05526237487793
41_collections_usage.py,27.6,87.0,0.2707655429840088,45.315310859680174
42_itertools_ops.py,32.7,87.1,0.2701282501220703,47.88256500244141
43_pandas_operations.py,7.1,87.1,2.0408260822296143,70.49652164459229
44_regex_heavy.py,32.7,87.2,0.3350381851196289,49.21076370239258
45_pathlib_operations.py,98.2,87.7,0.8176383972167969,91.76276794433593
46_async_simulation.py,87.5,87.8,0.263383150100708,75.35766300201416
47_context_managers.py,48.4,87.6,0.2691507339477539,55.863014678955075
48_decorators.py,42.9,87.5,0.45891308784484863,56.878261756896975
49_property_access.py,10.7,87.6,0.28870701789855957,37.40414035797119
50_hash_operations.py,11.3,87.5,0.33252954483032227,38.550590896606444
